id|fullname|Nation_team|Batting|Bowling
1|Ravinder Singh Bopara|England|Right-hand bat|Right-arm medium
2|Stuart Christopher John Broad|England|Left-hand bat|Right-arm fast-medium
5|Michael Alexander Carberry|England|Left-hand bat|Right-arm offbreak
8|Paul David Collingwood|England|Right-hand bat|Right-arm medium
19|Alastair Nathan Cook|England|Left-hand bat|Right-arm slow
25|James William Murray Dalrymple|England|Right-hand bat|Right-arm offbreak
26|Steven Michael Davies|England|Left-hand bat|none
27|Joseph Liam Denly|England|Right-hand bat|Legbreak
28|Jade Winston Dernbach|England|Right-hand bat|Right-arm fast-medium
38|Andrew Flintoff|England|Right-hand bat|Right-arm fast-medium
39|James Savin Foster|England|Right-hand bat|none
54|Gavin Mark Hamilton|Scotland|Left-hand bat|Right-arm medium-fast
56|Stephen James Harmison|England|Right-hand bat|Right-arm fast-medium
60|David Lloyd Hemp|Bermuda|Left-hand bat|Right-arm medium
75|Geraint Owen Jones|England|Right-hand bat|none
79|Robert William Trevor Key|England|Right-hand bat|Right-arm offbreak
80|Robert James Kirtley|England|Right-hand bat|Right-arm fast-medium
89|Jonathan Lewis|England|Right-hand bat|Right-arm medium
98|Michael John Lumb|England|Left-hand bat|Right-arm medium
99|Darren Lee Maddy|England|Right-hand bat|Right-arm medium
103|Adrian Dimitri Mascarenhas|England|Right-hand bat|Right-arm fast-medium
110|Timothy James Murtagh|Ireland|Left-hand bat|Right-arm fast-medium
111|Philip Mustard|England|Left-hand bat|Legbreak
112|Sajid Iqbal Mahmood|England|Right-hand bat|Right-arm fast-medium
113|Paul Andrew Nixon|England|Left-hand bat|none
115|Graham Onions|England|Right-hand bat|Right-arm medium-fast
118|Samit Rohit Patel|England|Right-hand bat|Slow left-arm orthodox
119|Mudhsuden Singh Panesar|England|Left-hand bat|Slow left-arm orthodox
120|Matthew James Prior|England|Right-hand bat|none
121|Liam Edward Plunkett|England|Right-hand bat|Right-arm fast
122|Navdeep Singh Poonia|Scotland|Right-hand bat|Right-arm medium-fast
123|Kevin Peter Pietersen|England|Right-hand bat|Right-arm offbreak
128|Christopher Mark Wells Read|England|Right-hand bat|none
137|Owais Alam Shah|England|Right-hand bat|Right-arm offbreak
139|Ryan Jay Sidebottom|England|Left-hand bat|Left-arm fast-medium
148|Jeremy Nicholas Snape|England|Right-hand bat|Right-arm offbreak
150|Vikram Singh Solanki|England|Right-hand bat|Right-arm offbreak
154|Andrew John Strauss|England|Left-hand bat|Left-arm medium
155|Graeme Peter Swann|England|Right-hand bat|Right-arm offbreak
157|Irfan Ahmed|Hong Kong|Right-hand bat|Right-arm fast-medium
159|Pieter Marinus Seelaar|Netherlands|Right-hand bat|Slow left-arm orthodox
160|Tyson George Gordon|Canada|Left-hand bat|Right-arm fast-medium
161|Chamara Kantha Kapugedera|Sri Lanka|Right-hand bat|Right-arm medium
162|Andrew David Poynter|Ireland|Right-hand bat|Right-arm offbreak
163|Steven Thomas Finn|England|Right-hand bat|Right-arm fast-medium
164|Henry Osinde|Canada|Right-hand bat|Right-arm medium-fast
165|Ajmal Shahzad|England|Right-hand bat|Right-arm fast-medium
167|Alexei Nicolaas Kervezee|Netherlands|Right-hand bat|Right-arm medium
168|Eric Stefan Szwarczynski|Netherlands|Right-hand bat|Right-arm medium
172|Stephen David Parry|England|Right-hand bat|Slow left-arm orthodox
174|Usman Tariq Khawaja|Australia|Left-hand bat|Right-arm medium
178|Marcus Edward Trescothick|England|Left-hand bat|Right-arm medium
182|James Cullum Tredwell|England|Left-hand bat|Right-arm offbreak
183|Christopher Timothy Tremlett|England|Right-hand bat|Right-arm medium-fast
184|James Joseph Celestine|Bermuda|Right-hand bat|Right-arm slow-medium
188|Tom Lexley William Cooper|Netherlands|Right-hand bat|Right-arm offbreak
189|David Andrew Warner|Australia|Left-hand bat|Legbreak
190|Fahad Afdhal Alhashmi|United Arab Emirates|Right-hand bat|Right-arm fast-medium
191|Munir Ahmed Dar|Hong Kong|Right-hand bat|Slow left-arm orthodox
194|Michael Paul Vaughan|England|Right-hand bat|Right-arm offbreak
195|Asad Ali|Pakistan|Right-hand bat|Right-arm medium-fast
200|Juan Theron|South Africa|Right-hand bat|Right-arm medium-fast
209|Martin James Guptill|New Zealand|Right-hand bat|Right-arm offbreak
210|Hamish Kyle Bennett|New Zealand|Left-hand bat|Right-arm medium-fast
211|SK Robiul Islam|Bangladesh|Right-hand bat|Right-arm fast-medium
212|Ashok Bhimchandra Dinda|India|Right-hand bat|Right-arm medium-fast
213|Sarfraz Ahmed|Pakistan|Right-hand bat|none
214|Sharjeel Khan|Pakistan|Left-hand bat|Legbreak
215|Mohammad Talha|Pakistan|Right-hand bat|Right-arm medium-fast
216|Frank Dimuth Madushanka Karunaratne|Sri Lanka|Left-hand bat|Right-arm medium
217|John Wayne Hastings|Australia|Right-hand bat|Right-arm fast-medium
218|Matthew Scott Wade|Australia|Left-hand bat|Right-arm medium
219|Benjamin Colin James Cutting|Australia|Right-hand bat|Right-arm fast-medium
220|Jason Nazimuddin Mohammed|West Indies|Right-hand bat|Right-arm offbreak
221|Nelon Troy Pascal|West Indies|Right-hand bat|Right-arm fast
222|Kemar Andre Jamal Roach|West Indies|Right-hand bat|Right-arm fast
223|Sunil Philip Narine|West Indies|Left-hand bat|Right-arm offbreak
224|Kieron Adrian Pollard|West Indies|Right-hand bat|Right-arm medium-fast
225|Dean Elgar|South Africa|Left-hand bat|Slow left-arm orthodox
226|Craig Kieswetter|England|Right-hand bat|Right-arm offbreak
227|Mthokozisi Shezi|South Africa|Left-hand bat|Left-arm medium
228|Peter James Forrest|Australia|Right-hand bat|Right-arm medium
229|Colin Munro|New Zealand|Left-hand bat|Right-arm medium-fast
230|Timothy Grant Southee|New Zealand|Right-hand bat|Right-arm medium-fast
231|Calum Scott MacLeod|Scotland|Right-hand bat|Right-arm medium-fast
232|Gary Simon Ballance|England|Left-hand bat|Legbreak
233|Keegan Orry Meth|Zimbabwe|Right-hand bat|Right-arm medium-fast
234|Anwar Ali|Pakistan|Right-hand bat|Right-arm medium-fast
236|Narangoda Liyanaarachchilage Thisara Chirantha Perera|Sri Lanka|Left-hand bat|Right-arm medium-fast
237|Stephanus Johannes Myburgh|Netherlands|Left-hand bat|Right-arm offbreak
238|Subasinghe Mudiyanselage Ashan Priyanjan|Sri Lanka|Right-hand bat|Right-arm offbreak
239|Luke James Wright|England|Right-hand bat|Right-arm medium-fast
240|Ravindrasinh Anirudhsinh Jadeja|India|Left-hand bat|Slow left-arm orthodox
241|Michael Howard Yardy|England|Left-hand bat|Slow left-arm orthodox
242|Brian Vitalis Vitori|Zimbabwe|Left-hand bat|Left-arm fast-medium
243|Richmond Mutumbami|Zimbabwe|Right-hand bat|Right-arm offbreak
244|Tafadzwa Kamungozi|Zimbabwe|Right-hand bat|Legbreak
245|Timycen Maruma|Zimbabwe|Right-hand bat|Legbreak googly
246|Cephas Zhuwao|Zimbabwe|Left-hand bat|Slow left-arm orthodox
247|Ishant Sharma|India|Right-hand bat|Right-arm fast-medium
253|Christopher Ray Foggo|Bermuda|Right-hand bat|none
254|Oliver Llewylln Pitcher|Bermuda|Right-hand bat|Right-arm medium
255|Steven Davonne Outerbridge|Bermuda|Left-hand bat|Right-arm offbreak
256|Murali Vijay|India|Right-hand bat|Right-arm offbreak
258|Irving Howard Romaine|Bermuda|Right-hand bat|Right-arm offbreak
264|Jekon Edness|Bermuda|Right-hand bat|none
284|Ashish Bagai|Canada|Right-hand bat|none
286|Zubin Eruch Surkari|Canada|Right-hand bat|Right-arm medium
291|Abdool Mudassar Samad|Canada|Right-hand bat|Right-arm offbreak
294|Ian Shaw Billcliff|Canada|Right-hand bat|Right-arm medium
295|John Michael Davison|Canada|Right-hand bat|Right-arm offbreak
298|Sandeep Jyoti|Canada|Right-hand bat|Right-arm offbreak
299|Nehemiah Ngoche Odhiambo|Kenya|Right-hand bat|Right-arm medium-fast
302|Umar Bhatti|Canada|Left-hand bat|Left-arm medium
323|Fawad Ahmed|Australia|Right-hand bat|Legbreak
335|Nadeem Ahmed|Hong Kong|Right-hand bat|Slow left-arm orthodox
336|John Francis Mooney|Ireland|Left-hand bat|Right-arm medium
338|Edmund Christopher Joyce|Ireland|Left-hand bat|Right-arm medium
339|William Kyle McCallan|Ireland|Right-hand bat|Right-arm offbreak
341|Andrew Roland White|Ireland|Right-hand bat|Right-arm offbreak
342|Niall John O'Brien|Ireland|Left-hand bat|none
346|Adil Usman Rashid|England|Right-hand bat|Legbreak
347|Harry Frederick Gurney|England|Right-hand bat|Left-arm fast-medium
348|Mudassar Bukhari|Netherlands|Right-hand bat|Right-arm medium-fast
352|Anthony Martin|West Indies|Right-hand bat|Legbreak
353|Mark Benjamin Sebastiaan Jonkman|Netherlands|Right-hand bat|Right-arm fast
354|Ahmed Raza|United Arab Emirates|Right-hand bat|Slow left-arm orthodox
355|Eoin Joseph Gerard Morgan|England|Left-hand bat|Right-arm medium
356|William Boyd Rankin|England|Left-hand bat|Right-arm fast-medium
358|Kevin Joseph O'Brien|Ireland|Right-hand bat|Right-arm medium-fast
359|Gary Craig Wilson|Ireland|Right-hand bat|none
360|William Thomas Stuart Porterfield|Ireland|Left-hand bat|Right-arm offbreak
368|James Kabatha Kamande|Kenya|Right-hand bat|Right-arm offbreak
371|George Hubert O'Brien|Bermuda|Right-hand bat|Right-arm fast-medium
375|Thomas Odoyo Migai|Kenya|Right-hand bat|Right-arm medium-fast
378|Lameck Onyango Ngoche|Kenya|Right-hand bat|Right-arm medium
379|Kennedy Otieno Obuya|Kenya|Right-hand bat|none
380|Ragheb Gul Aga|Kenya|Right-hand bat|Right-arm medium-fast
383|Otieno Suji Ondik|Kenya|Right-hand bat|Right-arm medium
384|Christopher Roger Woakes|England|Right-hand bat|Right-arm fast-medium
387|Stephen Ogonji Tikolo|Kenya|Right-hand bat|Right-arm offbreak
389|Morris Amollo Ouma|Kenya|Right-hand bat|Right-arm offbreak
390|Collins Omondi Obuya|Kenya|Right-hand bat|Legbreak
391|David Oluoch Obuya|Kenya|Right-hand bat|none
392|Peter Jimmy Carter Ongondo|Kenya|Right-hand bat|Right-arm fast-medium
395|Rajesh Lalji Bhudia|Kenya|Right-hand bat|Right-arm medium
399|Tanmay Mishra|Kenya|Right-hand bat|Right-arm fast-medium
422|Devon Cuthbert Thomas|West Indies|Right-hand bat|Right-arm medium
431|Edgar Schiferli|Netherlands|Right-hand bat|Right-arm medium-fast
433|Jeroen Smits|Netherlands|Right-hand bat|none
435|Daan Lodewjk Samuel van Bunge|Netherlands|Right-hand bat|Legbreak
439|Mohammad Adeel Khalid Raja|Netherlands|Right-hand bat|Right-arm offbreak
440|Alexander Daniel Hales|England|Right-hand bat|Right-arm medium
441|Bastiaan Zuiderent|Netherlands|Right-hand bat|Right-arm medium
442|Atse Folkert Buurman|Netherlands|Right-hand bat|none
444|Tom Nico de Grooth|Netherlands|Right-hand bat|Right-arm offbreak
446|John Angus Rae Blain|Scotland|Right-hand bat|Right-arm fast-medium
449|Douglas Ross Lockhart|Scotland|Right-hand bat|none
450|Gregor Ian Maiden|Scotland|Right-hand bat|Right-arm offbreak
454|Colin John Ogilvie Smith|Scotland|Right-hand bat|none
457|David Fraser Watts|Scotland|Right-hand bat|Right-arm medium
459|Craig McIntyre Wright|Scotland|Right-hand bat|Right-arm medium
463|Kieran Omar Akeem Powell|West Indies|Left-hand bat|Right-arm medium, Right-arm offbreak
464|Virat Kohli|India|Right-hand bat|Right-arm medium
466|Hiren Ashok Varaiya|Kenya|Right-hand bat|Slow left-arm orthodox
467|Ryan Robert Watson|Scotland|Right-hand bat|Right-arm medium, Right-arm offbreak
469|Neil Francis Ian McCallum|Scotland|Right-hand bat|none
471|Moneeb Mohammed Iqbal|Scotland|Right-hand bat|Legbreak
473|Kyle James Coetzer|Scotland|Right-hand bat|Right-arm medium-fast
474|Rana Majid Haq Khan|Scotland|Left-hand bat|Right-arm offbreak
476|Ross Thomas Lyons|Scotland|Left-hand bat|Slow left-arm orthodox
477|Gordon Goudie|Scotland|Right-hand bat|Right-arm fast-medium
478|Johann Dewald Nel|Scotland|Right-hand bat|Right-arm medium-fast
479|Richard Douglas Berrington|Scotland|Right-hand bat|Right-arm medium-fast
499|Khurram Khan|United Arab Emirates|Left-hand bat|Slow left-arm orthodox
502|Mohammad Tauqir|United Arab Emirates|Right-hand bat|Right-arm offbreak
507|Amjad Javed|United Arab Emirates|Right-hand bat|Right-arm medium
522|Khaliq Dad Noori|Afghanistan|Right-hand bat|Right-arm fast-medium
523|Mohammad Nabi|Afghanistan|Right-hand bat|Right-arm offbreak
524|Dawlat Khan Ahmadzi|Afghanistan|Right-hand bat|Right-arm fast-medium
525|Ahmed Shehzad|Pakistan|Right-hand bat|Legbreak
526|Raza-ur-Rehman|Canada|Right-hand bat|Left-arm medium-fast
527|Mohammad Junaid Khan|Pakistan|Right-hand bat|Left-arm fast
528|Tanwir Afzal|Hong Kong|Right-hand bat|Right-arm fast-medium
529|Usman Salahuddin|Pakistan|Right-hand bat|none
530|Kenneth Kamyuka|Canada|Right-hand bat|Right-arm fast-medium
531|Nathan Mitchell Coulter-Nile|Australia|Right-hand bat|Right-arm fast
533|Ajit Bhalchandra Agarkar|India|Right-hand bat|Right-arm fast
543|Ravichandran Ashwin|India|Right-hand bat|Right-arm offbreak
544|Wayne Dillon Parnell|South Africa|Left-hand bat|Left-arm medium-fast
545|Steven Peter Devereux Smith|Australia|Right-hand bat|Legbreak googly
546|Ranaweera Mudiyanselage Shaminda Eranga|Sri Lanka|Right-hand bat|Right-arm fast-medium
547|Rodney Jamal Omar Trott|Bermuda|Right-hand bat|Right-arm offbreak
548|Rakep Rajendra Patel|Kenya|Right-hand bat|Right-arm offbreak
550|Subramaniam Badrinath|India|Right-hand bat|Right-arm offbreak
552|Wandavasi Dorakanti Balaji Rao|Canada|Left-hand bat|Legbreak googly
553|Lakshmipathy Balaji|India|Right-hand bat|Right-arm medium-fast
556|Balapuwaduge Ajantha Winslow Mendis|Sri Lanka|Right-hand bat|Right-arm offbreak, Legbreak
557|Seekkuge Prasanna|Sri Lanka|Right-hand bat|Legbreak
560|Mohammad Mithun Ali|Bangladesh|Right-hand bat|none
564|James Peter Faulkner|Australia|Right-hand bat|Left-arm fast-medium
565|Stuart Terence Roger Binny|India|Right-hand bat|Right-arm medium
567|Kane William Richardson|Australia|Right-hand bat|Right-arm fast-medium
568|Nathan Michael Lyon|Australia|Right-hand bat|Right-arm offbreak
569|Phillip Joel Hughes|Australia|Left-hand bat|none
570|Mitchell Ross Marsh|Australia|Right-hand bat|Right-arm medium
571|James Lee Pattinson|Australia|Left-hand bat|Right-arm fast-medium
572|Glenn Alan Rogers|Scotland|Right-hand bat|Slow left-arm orthodox
573|Rahul Sharma|India|Right-hand bat|Legbreak googly
574|Senanayake Mudiyanselage Sachithra Madhushanka Senanayake|Sri Lanka|Right-hand bat|Right-arm offbreak
575|Veerasammy Permaul|West Indies|Right-hand bat|Slow left-arm orthodox
576|Adrian Boris Barath|West Indies|Right-hand bat|Right-arm offbreak
579|Royston Tycho Crandon|West Indies|Right-hand bat|Right-arm offbreak
583|Andre Dwayne Russell|West Indies|Right-hand bat|Right-arm fast
584|Jeremy Oliver Alster Gordon|Canada|Right-hand bat|Right-arm fast-medium
587|Darren Michael Bravo|West Indies|Left-hand bat|Right-arm medium-fast
588|Corey James Anderson|New Zealand|Left-hand bat|Left-arm medium-fast
589|Kane Stuart Williamson|New Zealand|Right-hand bat|Right-arm offbreak
590|Trent Alexander Boult|New Zealand|Right-hand bat|Left-arm fast-medium
591|Ajinkya Madhukar Rahane|India|Right-hand bat|Right-arm medium
592|Dhawal Sunil Kulkarni|India|Right-hand bat|Right-arm medium
596|Wriddhiman Prasanta Saha|India|Right-hand bat|none
599|Imrul Kayes|Bangladesh|Left-hand bat|none
600|Mahendra Singh Dhoni|India|Right-hand bat|Right-arm medium
603|Rahul Sharad Dravid|India|Right-hand bat|Right-arm offbreak
606|Shikhar Dhawan|India|Left-hand bat|Right-arm offbreak
609|Gautam Gambhir|India|Left-hand bat|Legbreak
617|Umar Amin|Pakistan|Left-hand bat|Right-arm medium
618|Josh Reginald Hazlewood|Australia|Left-hand bat|Right-arm fast-medium
619|Shafiul Islam|Bangladesh|Right-hand bat|Right-arm fast-medium
621|Christopher James Jordan|England|Right-hand bat|Right-arm fast-medium
622|Krishnachandran Karate|United Arab Emirates|Right-hand bat|Right-arm medium-fast
623|Mohammad Amir|Pakistan|Left-hand bat|Left-arm fast
625|Alex Auma Obanda|Kenya|Right-hand bat|Right-arm medium-fast
626|James John Atkinson|Hong Kong|Right-hand bat|none
627|Harbhajan Singh|India|Right-hand bat|Right-arm offbreak
630|Elijah Otieno Asoyo|Kenya|Right-hand bat|Right-arm medium-fast
631|Regis Wiriranai Chakabva|Zimbabwe|Right-hand bat|Right-arm offbreak
632|Alex Richard Cusack|Ireland|Right-hand bat|Right-arm medium-fast
633|Gordon David Drummond|Scotland|Right-hand bat|Right-arm medium-fast
637|Jonathan Marc Bairstow|England|Right-hand bat|Right-arm medium
638|Matthew William Machan|Scotland|Left-hand bat|Right-arm offbreak
639|Bradley Peter Kruger|Netherlands|Right-hand bat|Right-arm fast-medium
640|David Murphy|Scotland|Right-hand bat|none
641|Kyle John Abbott|South Africa|Right-hand bat|Right-arm fast-medium
642|Stuart Christopher Meaker|England|Right-hand bat|Right-arm fast-medium
643|James William Arthur Taylor|England|Right-hand bat|Legbreak
644|Jan Hendrik Stander|Scotland|Right-hand bat|Right-arm medium-fast
645|Matthew Archibald Parker|Scotland|Left-hand bat|Right-arm medium-fast
646|Sikandar Raza Butt|Zimbabwe|Right-hand bat|Right-arm medium, Right-arm offbreak
658|Krishnakumar Dinesh Karthik|India|Right-hand bat|none
660|Mohammad Nasir Hossain|Bangladesh|Right-hand bat|Right-arm offbreak
661|Mohammad Rubel Hossain|Bangladesh|Right-hand bat|Right-arm medium-fast
662|Lokuge Dinesh Chandimal|Sri Lanka|Right-hand bat|Right-arm offbreak
663|Angelo Kanishka Perera|Sri Lanka|Right-hand bat|Slow left-arm orthodox
664|Mathurage Don Kusal Janith Perera|Sri Lanka|Left-hand bat|none
666|Zaheer Khan|India|Right-hand bat|Left-arm fast-medium
670|Hettige Don Rumesh Lahiru Thirimanne|Sri Lanka|Left-hand bat|Right-arm medium-fast
678|Peter Christopher Connell|Ireland|Right-hand bat|Right-arm medium-fast
679|Ryan Flannigan|Scotland|Right-hand bat|Right-arm medium
681|Andrew Balbirnie|Ireland|Right-hand bat|Right-arm offbreak
682|Paul Robert Stirling|Ireland|Right-hand bat|Right-arm offbreak
684|James Norman Knight Shannon|Ireland|Right-hand bat|Right-arm offbreak
685|Joseph Edward Root|England|Right-hand bat|Right-arm offbreak
686|Maurits Maarten Alexander Jonkman|Netherlands|Right-hand bat|Right-arm medium
687|Ruvindu Gunasekera|Canada|Left-hand bat|Legbreak googly
688|Rustam Ali Bhatti|Canada|Right-hand bat|Right-arm offbreak
692|Praveenkumar Sakat Singh|India|Right-hand bat|Right-arm medium
697|Noor-ul-Haq Malekzai|Afghanistan|Right-hand bat|Right-arm offbreak
698|Shabir Ahmed Noori|Afghanistan|Right-hand bat|Right-arm offbreak
699|Zakiullah Zaki|Afghanistan|Right-hand bat|Legbreak
700|Rohan Mustafa|United Arab Emirates|Left-hand bat|Right-arm slow
701|Mohammad Javed Ahmadi|Afghanistan|Right-hand bat|Right-arm offbreak
702|Stuart William Poynter|Ireland|Right-hand bat|none
703|Nelson Mandela Odhiambo|Kenya|Right-hand bat|Right-arm medium-fast
704|Shem Obado Ngoche|Kenya|Right-hand bat|Slow left-arm orthodox
705|James Otieno Ngoche|Kenya|Right-hand bat|Right-arm offbreak
707|Michael Richard Swart|Netherlands|Right-hand bat|Right-arm offbreak
708|Joseph Charles Buttler|England|Right-hand bat|none
715|Danny Richard Briggs|England|Right-hand bat|Slow left-arm orthodox
717|Dinesh Mongia|India|Left-hand bat|Slow left-arm orthodox
721|Scott George Borthwick|England|Left-hand bat|Legbreak
722|Abhimanyu Mithun|India|Right-hand bat|Right-arm medium
723|Amit Mishra|India|Right-hand bat|Legbreak
724|Benjamin Andrew Stokes|England|Left-hand bat|Right-arm fast-medium
725|Hamid Hassan|Afghanistan|Right-hand bat|Right-arm fast
726|Mitchell Aaron Starc|Australia|Left-hand bat|Left-arm fast
727|Calvert Kenroy Hooper|Canada|Right-hand bat|Right-arm fast-medium
731|Chadwick Antonio Kirkpatrick Walton|West Indies|Right-hand bat|none
732|Ben Laughlin|Australia|Right-hand bat|Right-arm fast-medium
733|Asad Shafiq|Pakistan|Right-hand bat|Legbreak
734|Sohail Khan|Pakistan|Right-hand bat|Right-arm medium-fast
735|Umar Akmal|Pakistan|Right-hand bat|none
738|Sudeep Tyagi|India|Right-hand bat|Right-arm medium
740|Ashish Nehra|India|Right-hand bat|Left-arm medium-fast
741|Nawroz Khan Mangal|Afghanistan|Right-hand bat|Right-arm offbreak
743|Samiullah Shenwari|Afghanistan|Right-hand bat|Legbreak
744|Noor Ali Zadran|Afghanistan|Right-hand bat|Right-arm medium-fast
745|Haris Sohail|Pakistan|Left-hand bat|Left-arm medium
746|Rilee Roscoe Rossouw|South Africa|Left-hand bat|Right-arm offbreak
747|Mitchell John McClenaghan|New Zealand|Left-hand bat|Left-arm medium-fast
749|Shapoor Zadran|Afghanistan|Left-hand bat|Left-arm fast-medium
750|Karim Sadiq Khan|Afghanistan|Right-hand bat|Right-arm offbreak
751|Hasti Gul Abid|Afghanistan|Right-hand bat|Right-arm medium
752|Raees Khan Ahmadzai|Afghanistan|Right-hand bat|Right-arm offbreak
753|Mohammad Asghar Stanikzai|Afghanistan|Right-hand bat|Right-arm medium-fast
754|Abhishek Mohan Nayar|India|Left-hand bat|Right-arm medium
755|Naman Vinaykumar Ojha|India|Right-hand bat|none
756|Pragyan Prayash Ojha|India|Left-hand bat|Slow left-arm orthodox
758|David Andrew Miller|South Africa|Left-hand bat|Right-arm offbreak
764|Parthiv Ajay Patel|India|Left-hand bat|none
768|Rahat Ali|Pakistan|Right-hand bat|Left-arm fast-medium
772|Aththachchi Nuwan Pradeep Roshan Fernando|Sri Lanka|Right-hand bat|Right-arm fast-medium
773|Yusuf Khan Pathan|India|Right-hand bat|Right-arm offbreak
774|Glenn James Maxwell|Australia|Right-hand bat|Right-arm offbreak
775|Cheteshwar Arvind Pujara|India|Right-hand bat|Legbreak
776|Bhuvneshwar Kumar Singh|India|Right-hand bat|Right-arm medium
777|Irfan Khan Pathan|India|Left-hand bat|Left-arm medium-fast
778|Isuru Udana Tillakaratna|Sri Lanka|Right-hand bat|Left-arm medium-fast
779|Munaf Musa Patel|India|Right-hand bat|Right-arm medium-fast
780|Piyush Pramod Chawla|India|Left-hand bat|Legbreak
781|Pankaj Singh|India|Right-hand bat|Right-arm medium-fast
790|Hamish Duncan Rutherford|New Zealand|Left-hand bat|none
791|Ambati Thirupathi Rayudu|India|Right-hand bat|Right-arm offbreak
795|Kyle Malcolm Jarvis|Zimbabwe|Right-hand bat|Right-arm fast-medium
796|Confidence Tinotenda Mutombodzi|Zimbabwe|Right-hand bat|Legbreak, Legbreak googly
797|Njabulo Ncube|Zimbabwe|Right-hand bat|Right-arm fast-medium
799|Johnson Charles|West Indies|Right-hand bat|none
800|Suresh Kumar Raina|India|Left-hand bat|Right-arm offbreak
801|Timm van der Gugten|Netherlands|Right-hand bat|Right-arm fast-medium
819|Rohit Gurunath Sharma|India|Right-hand bat|Right-arm offbreak
825|Devendra Bishoo|West Indies|Left-hand bat|Legbreak
828|Vikrant Shetty|United Arab Emirates|Right-hand bat|Right-arm offbreak
829|Kasun Disi Kithuruwan Vithanage|Sri Lanka|Left-hand bat|Legbreak
831|Shanthakumaran Sreesanth|India|Right-hand bat|Right-arm fast-medium
832|Bilawal Bhatti|Pakistan|Right-hand bat|Right-arm medium-fast
833|Shingirai Winston Masakadza|Zimbabwe|Right-hand bat|Right-arm fast-medium
834|Raza Hasan|Pakistan|Right-hand bat|Slow left-arm orthodox
835|Pinnaduwage Chaturanga de Silva|Sri Lanka|Left-hand bat|Slow left-arm orthodox
836|Irfan Ali Karim|Kenya|Left-hand bat|Right-arm offbreak
