id|fullname|Nation_team|Batting|Bowling
837|George Henry Dockrell|Ireland|Right-hand bat|Slow left-arm orthodox
838|Graeme John McCarter|Ireland|Right-hand bat|Right-arm medium
840|Nitish Roenick Kumar|Canada|Right-hand bat|Right-arm offbreak
841|Nikhil Dutta|Canada|Right-hand bat|Right-arm offbreak
842|Nizakat Khan|Hong Kong|Right-hand bat|Legbreak
843|Waqas Barkat|Hong Kong|Right-hand bat|Right-arm bowler
844|Gulbadin Naib|Afghanistan|Right-hand bat|Right-arm medium-fast
845|Virender Sehwag|India|Right-hand bat|Right-arm offbreak
846|Rudra Pratap Singh|India|Right-hand bat|Left-arm fast-medium
848|Seren Robert Waters|Kenya|Right-hand bat|Legbreak
849|Sachin Ramesh Tendulkar|India|Right-hand bat|Right-arm offbreak, Legbreak googly
850|Robert Meadows Lombe Taylor|Scotland|Left-hand bat|Left-arm medium
851|Saurabh Sunil Tiwary|India|Left-hand bat|none
852|Neil Kruger|Netherlands|Right-hand bat|Right-arm medium
853|James Douglas Sheahan Neesham|New Zealand|Left-hand bat|Right-arm medium
854|Harvir Singh Baidwan|Canada|Right-hand bat|Right-arm medium
855|Manoj Kumar Tiwary|India|Right-hand bat|Legbreak googly
856|Robin Venu Uthappa|India|Right-hand bat|Right-arm medium
864|Ranganath Vinay Kumar|India|Right-hand bat|Right-arm medium
874|Yuvraj Singh|India|Left-hand bat|Slow left-arm orthodox
875|Varun Raymond Aaron|India|Right-hand bat|Right-arm fast
878|Nathan John Astle|New Zealand|Right-hand bat|Right-arm medium
879|Graeme William Aldridge|New Zealand|Right-hand bat|Right-arm fast-medium
880|Andre Ryan Adams|New Zealand|Right-hand bat|Right-arm fast-medium
881|Rizwan Ahmed Cheema|Canada|Right-hand bat|Right-arm medium
882|Douglas Andrew John Bracewell|New Zealand|Right-hand bat|Right-arm fast-medium
883|Shafiqullah Shafiq|Afghanistan|Right-hand bat|none
895|Shane Edward Bond|New Zealand|Right-hand bat|Right-arm fast
896|Ian Gareth Butler|New Zealand|Right-hand bat|Right-arm fast
897|Geoffery Edward Fulton Barnett|Canada|Left-hand bat|Right-arm medium-fast
898|Timothy George Johannus Gruijters|Netherlands|Right-hand bat|Right-arm medium
899|Edward James Richardson|Ireland|Right-hand bat|Right-arm medium
900|Freddie Robert John Coleman|Scotland|Right-hand bat|none
902|Craig Alexander Young|Ireland|Right-hand bat|Right-arm medium
904|Neil Trevor Broom|New Zealand|Right-hand bat|Right-arm medium
905|Michael David Bates|New Zealand|Right-hand bat|Left-arm medium-fast
906|Peter William Borren|Netherlands|Right-hand bat|Right-arm medium
908|Christopher Lance Cairns|New Zealand|Right-hand bat|Right-arm fast-medium
916|Craig Derek Cumming|New Zealand|Right-hand bat|none
923|Anton Paul Devcich|New Zealand|Left-hand bat|Slow left-arm orthodox
924|Brendon John Diamanti|New Zealand|Right-hand bat|Right-arm medium-fast
927|Andrew Malcolm Ellis|New Zealand|Right-hand bat|Right-arm fast-medium
928|Stephen Paul Fleming|New Zealand|Left-hand bat|none
930|James Edward Charles Franklin|New Zealand|Left-hand bat|Left-arm medium
931|Mohammad Shahzaib Hasan Khan|Pakistan|Right-hand bat|Right-arm offbreak
932|Peter Gordon Fulton|New Zealand|Right-hand bat|Right-arm medium
933|Daniel Raymond Flynn|New Zealand|Left-hand bat|Left-arm slow
938|Mark Raymond Gillespie|New Zealand|Right-hand bat|Right-arm fast-medium
951|Gareth James Hopkins|New Zealand|Right-hand bat|none
957|Paul Anthony Hitchcock|New Zealand|Right-hand bat|Right-arm medium
958|Jamie Michael How|New Zealand|Right-hand bat|Right-arm medium, Right-arm offbreak
959|Mohammed Abul Hasan|Bangladesh|Left-hand bat|Right-arm medium-fast
960|Mominul Haque|Bangladesh|Left-hand bat|Slow left-arm orthodox
968|Umeshkumar Tilak Yadav|India|Right-hand bat|Right-arm fast-medium
969|Hamish John Hamilton Marshall|New Zealand|Right-hand bat|Right-arm medium
970|James Andrew Hamilton Marshall|New Zealand|Right-hand bat|Right-arm medium
971|Christopher Stewart Martin|New Zealand|Right-hand bat|Right-arm fast-medium
972|Michael James Mason|New Zealand|Right-hand bat|Right-arm fast-medium
975|Craig Douglas McMillan|New Zealand|Right-hand bat|Right-arm medium
981|Brendon Barrie McCullum|New Zealand|Right-hand bat|Right-arm medium
982|Kyle David Mills|New Zealand|Right-hand bat|Right-arm fast-medium
983|Nathan Leslie McCullum|New Zealand|Right-hand bat|Right-arm offbreak
984|Tarun Sai Nethula|New Zealand|Right-hand bat|Legbreak
985|Peter Donald McGlashan|New Zealand|Right-hand bat|none
986|Parvez Ghulam Rasool Zargar|India|Right-hand bat|Right-arm offbreak
987|Quinton de Kock|South Africa|Left-hand bat|none
988|Andrew John McKay|New Zealand|Right-hand bat|Left-arm fast-medium
991|Mohammad Anamul Haque Bijoy|Bangladesh|Right-hand bat|none
992|Robert James Nicol|New Zealand|Right-hand bat|Right-arm medium, Right-arm offbreak
994|Jacob David Philip Oram|New Zealand|Left-hand bat|Right-arm fast-medium
997|Michael James Grattan Rippon|Netherlands|Right-hand bat|Slow left-arm chinaman
998|Iain Edward O'Brien|New Zealand|Right-hand bat|Right-arm fast-medium
1009|Jeetan Shashi Patel|New Zealand|Right-hand bat|Right-arm offbreak
1019|Darron John Reekers|Netherlands|Right-hand bat|Right-arm medium
1020|Aaron James Redmond|New Zealand|Right-hand bat|Legbreak
1021|Jesse Daniel Ryder|New Zealand|Left-hand bat|Right-arm medium
1022|Mathew Stuart Sinclair|New Zealand|Right-hand bat|Right-arm medium
1028|Scott Bernard Styris|New Zealand|Right-hand bat|Right-arm medium
1031|Shanan Luke Stewart|New Zealand|Right-hand bat|Right-arm medium
1032|Hammad Azam|Pakistan|Right-hand bat|Right-arm medium
1037|Daryl Raymond Tuffey|New Zealand|Right-hand bat|Right-arm fast-medium
1040|Ewen Paul Thompson|New Zealand|Left-hand bat|Left-arm fast-medium
1041|Luteru Ross Poutoa Lote Taylor|New Zealand|Right-hand bat|Right-arm offbreak
1044|Daniel Luca Vettori|New Zealand|Left-hand bat|Slow left-arm orthodox
1046|Lou Vincent|New Zealand|Right-hand bat|Right-arm medium
1051|Mirwais Ashraf|Afghanistan|Right-hand bat|Right-arm fast-medium
1059|Regan Morris West|Ireland|Left-hand bat|Left-arm fast-medium, Slow left-arm orthodox
1061|Thomas William Maxwell Latham|New Zealand|Left-hand bat|Right-arm medium
1062|Luke James Woodcock|New Zealand|Left-hand bat|Slow left-arm orthodox
1063|Bradley-John Watling|New Zealand|Right-hand bat|none
1065|Peter John Ingram|New Zealand|Right-hand bat|Right-arm offbreak
1090|Azhar Ali|Pakistan|Right-hand bat|Legbreak
1091|Adnan Akmal|Pakistan|Right-hand bat|none
1092|Jaydev Dipakbhai Unadkat|India|Right-hand bat|Left-arm medium
1095|Abdur Rehman|Pakistan|Left-hand bat|Slow left-arm orthodox
1097|Jason Omar Holder|West Indies|Right-hand bat|Right-arm medium-fast
1098|Natsai M'shangwe|Zimbabwe|Right-hand bat|Legbreak
1099|Donald Tatenda Tiripano|Zimbabwe|Right-hand bat|Right-arm fast-medium
1100|Marchant de Lange|South Africa|Right-hand bat|Right-arm fast
1102|Amjad Ali|United Arab Emirates|Left-hand bat|Legbreak
1104|Aizaz Bin Ilyas Cheema|Pakistan|Right-hand bat|Right-arm medium-fast
1105|Abdul Razzaq|Pakistan|Right-hand bat|Right-arm fast-medium
1106|Sean Anthony Abbott|Australia|Right-hand bat|Right-arm fast-medium
1108|Alasdair Campbell Evans|Scotland|Right-hand bat|Right-arm medium-fast
1116|Fayyaz Ahmed|United Arab Emirates|Left-hand bat|Slow left-arm orthodox
1117|Amir Hamza Hotak|Afghanistan|Right-hand bat|Slow left-arm orthodox
1118|Izatullah Dawlatzai|Afghanistan|Right-hand bat|Right-arm fast-medium
1119|Fawad Alam|Pakistan|Left-hand bat|Slow left-arm orthodox
1120|Shuvagata Hom Chowdhury|Bangladesh|Right-hand bat|Right-arm offbreak
1131|Imran Nazir|Pakistan|Right-hand bat|Legbreak
1133|Inzamam-ul-Haq|Pakistan|Right-hand bat|Slow left-arm orthodox
1139|Imran Farhat|Pakistan|Left-hand bat|Legbreak
1140|Rao Iftikhar Anjum|Pakistan|Right-hand bat|Right-arm medium
1141|Mohammad Imran Tahir|South Africa|Right-hand bat|Legbreak googly
1142|Nigel Geoffrey Jones|Ireland|Right-hand bat|Right-arm medium
1143|Joshua Henry Davey|Scotland|Right-hand bat|Right-arm medium-fast
1150|Kamran Akmal|Pakistan|Right-hand bat|none
1152|Khalid Latif|Pakistan|Right-hand bat|Right-arm offbreak
1155|Khurram Manzoor|Pakistan|Right-hand bat|Right-arm offbreak
1156|Khurram Rasheed Chohan|Canada|Right-hand bat|Right-arm fast-medium
1180|Mohammad Sami|Pakistan|Right-hand bat|Right-arm fast
1181|Berend Arnold Westdijk|Netherlands|Right-hand bat|Right-arm medium
1182|Misbah-ul-Haq Khan Niazi|Pakistan|Right-hand bat|Legbreak
1183|Mohammad Asif|Pakistan|Left-hand bat|Right-arm fast-medium
1184|Hiral Patel|Canada|Right-hand bat|Slow left-arm orthodox
1185|Usman Limbada|Canada|Right-hand bat|Right-arm medium
1186|Mohammad Hafeez|Pakistan|Right-hand bat|Right-arm offbreak
1187|Hamza Tariq|Canada|Right-hand bat|none
1192|Mohammad Salman|Pakistan|Right-hand bat|Legbreak
1193|Stuart Robert Thompson|Ireland|Left-hand bat|Right-arm medium-fast
1194|Michael Alexander Leask|Scotland|Right-hand bat|Right-arm offbreak
1195|Safyaan Mohammed Sharif|Scotland|Right-hand bat|Right-arm medium-fast
1196|Craig Donald Wallace|Scotland|Right-hand bat|none
1198|Vinoo Arsh Baldewpersad Tewarie|Netherlands|Right-hand bat|Legbreak googly
1203|Matthew Henry Cross|Scotland|Right-hand bat|none
1204|Andrew Robert McBrine|Ireland|Left-hand bat|Right-arm offbreak
1206|Nathan Wade Bracken|Australia|Right-hand bat|Left-arm fast-medium
1207|Amarbir Singh Hansra|Canada|Right-hand bat|Right-arm medium, Right-arm slow
1211|Mohammad Shahzad	Mohammadi|Afghanistan|Right-hand bat|none
1223|Najeeb Amar|Hong Kong|Left-hand bat|Slow left-arm orthodox
1225|Rana Naved-ul-Hasan|Pakistan|Right-hand bat|Right-arm medium-fast
1226|Nasir Jamshed|Pakistan|Left-hand bat|none
1234|Tendai Larry Chatara|Zimbabwe|Right-hand bat|Right-arm fast-medium
1251|Sahibzada Mohammad Shahid Khan Afridi|Pakistan|Right-hand bat|Legbreak googly
1258|Shoaib Akhtar|Pakistan|Right-hand bat|Right-arm fast
1259|Shoaib Malik|Pakistan|Right-hand bat|Right-arm offbreak
1263|Salman Butt|Pakistan|Left-hand bat|Right-arm offbreak
1264|Saeed Ajmal|Pakistan|Right-hand bat|Right-arm offbreak
1265|Saqib Ali|United Arab Emirates|Right-hand bat|none
1267|Mohammad Irfan|Pakistan|Right-hand bat|Left-arm fast
1269|Shaiman Anwar Butt|United Arab Emirates|Right-hand bat|Right-arm medium-fast
1271|Sohail Tanvir|Pakistan|Left-hand bat|Left-arm medium-fast
1272|Sohaib Maqsood|Pakistan|Right-hand bat|Right-arm offbreak
1277|Tanvir Ahmed|Pakistan|Right-hand bat|Right-arm fast-medium
1278|Taufeeq Umar|Pakistan|Left-hand bat|Right-arm offbreak
1279|Umar Gul|Pakistan|Right-hand bat|Right-arm fast-medium
1286|Wahab Riaz|Pakistan|Right-hand bat|Left-arm fast
1288|Mohammad Yousuf|Pakistan|Right-hand bat|Right-arm offbreak
1289|Mohammad Younis Khan|Pakistan|Right-hand bat|Right-arm medium, Legbreak
1290|Yasir Arafat Satti|Pakistan|Right-hand bat|Right-arm fast-medium
1292|Yasir Shah|Pakistan|Right-hand bat|Legbreak
1300|Zahid Hussain|Canada|Left-hand bat|Slow left-arm orthodox
1303|Zulqarnain Haider|Pakistan|Right-hand bat|none
1304|Zulfiqar Babar|Pakistan|Right-hand bat|Slow left-arm orthodox
1305|Hashim Mahomed Amla|South Africa|Right-hand bat|Right-arm medium, Right-arm offbreak
1308|Christopher Henry Morris|South Africa|Right-hand bat|Right-arm fast-medium
1309|John Anderson|Ireland|Right-hand bat|Right-arm offbreak
1313|Gulam Hussain Bodi|South Africa|Left-hand bat|Slow left-arm chinaman
1315|Aftab Alam|Afghanistan|Right-hand bat|Right-arm medium-fast
1317|Hashmatullah Shaidi|Afghanistan|Left-hand bat|Right-arm offbreak
1318|Parth Ajaykumar Desai|Canada|Right-hand bat|Slow left-arm orthodox
1319|Lungile Edgar Bosman|South Africa|Right-hand bat|Right-arm medium
1320|Andre Cornelius Botha|Ireland|Left-hand bat|Right-arm medium
1321|Mark Verdon Boucher|South Africa|Right-hand bat|Right-arm medium
1323|Johan Botha|South Africa|Right-hand bat|Right-arm offbreak
1324|Jeremy Paul Bray|Ireland|Left-hand bat|none
1325|Wesley Barresi|Netherlands|Right-hand bat|Right-arm offbreak
1326|Farhaan Behardien|South Africa|Right-hand bat|Right-arm fast-medium
1327|Sohag Gazi|Bangladesh|Right-hand bat|Right-arm offbreak
1333|Neil Miller Carter|Scotland|Left-hand bat|Left-arm medium-fast
1334|George John Bailey|Australia|Right-hand bat|Right-arm medium
1337|Hendrik Human Dippenaar|South Africa|Right-hand bat|Right-arm offbreak
1339|Swapnil Prakash Patil|United Arab Emirates|Right-hand bat|none
1340|Henry Davids|South Africa|Right-hand bat|Right-arm medium-fast
1341|Francois du Plessis|South Africa|Right-hand bat|Legbreak
1342|Dean Graham Brownlie|New Zealand|Right-hand bat|Right-arm medium
1343|Jean-Paul Duminy|South Africa|Left-hand bat|Right-arm offbreak
1344|Abraham Benjamin de Villiers|South Africa|Right-hand bat|Right-arm medium
1346|Grant David Elliott|New Zealand|Right-hand bat|Right-arm medium
1348|Douglas Erwin Bollinger|Australia|Left-hand bat|Left-arm fast-medium
1349|Adam Fraser Milne|New Zealand|Right-hand bat|Right-arm fast-medium
1351|Herschelle Herman Gibbs|South Africa|Right-hand bat|Right-arm bowler
1354|Neville Madziva|Zimbabwe|Right-hand bat|Right-arm medium
1356|Andrew James Hall|South Africa|Right-hand bat|Right-arm fast-medium
1365|Colin Alexander Ingram|South Africa|Left-hand bat|Legbreak
1367|Carlos Ricardo Brathwaite|West Indies|Right-hand bat|Right-arm fast-medium
1368|Michael John Clarke|Australia|Right-hand bat|Slow left-arm orthodox
1369|Jacques Henry Kallis|South Africa|Right-hand bat|Right-arm fast-medium
1370|Justin Miles Kemp|South Africa|Right-hand bat|Right-arm fast-medium
1374|Stuart Rupert Clark|Australia|Right-hand bat|Right-arm fast-medium
1379|Garnett John-Peter Kruger|South Africa|Right-hand bat|Right-arm medium-fast
1380|Rory Keith Kleinveldt|South Africa|Right-hand bat|Right-arm fast-medium
1381|Charl Kenneth Langeveldt|South Africa|Right-hand bat|Right-arm fast-medium
1384|Johann Louw|South Africa|Right-hand bat|Right-arm medium-fast
1385|Preston Luke Mommsen|Scotland|Right-hand bat|Right-arm offbreak
1388|Neil Douglas McKenzie|South Africa|Right-hand bat|Right-arm medium
1390|Johannes Albertus Morkel|South Africa|Left-hand bat|Right-arm medium-fast
1393|Rory Desmond McCann|Ireland|Right-hand bat|none
1394|Albert van der Merwe|Ireland|Right-hand bat|Right-arm offbreak
1395|Ryan McLaren|South Africa|Left-hand bat|Right-arm medium-fast
1396|Morne Morkel|South Africa|Left-hand bat|Right-arm fast
1397|Andre Nel|South Africa|Right-hand bat|Right-arm fast-medium
1398|Makhaya Ntini|South Africa|Right-hand bat|Right-arm fast
1399|Bernardus Pieters Loots|Netherlands|Right-hand bat|Right-arm medium
1400|Justin Lee Ontong|South Africa|Right-hand bat|Right-arm offbreak
1402|Thomas Josephus Heggelman|Netherlands|Right-hand bat|Right-arm medium
1403|Robin John Peterson|South Africa|Left-hand bat|Slow left-arm orthodox
1404|Shaun Maclean Pollock|South Africa|Right-hand bat|Right-arm fast-medium
1406|Ashwell Gavin Prince|South Africa|Left-hand bat|Right-arm offbreak
1409|Alviro Nathan Petersen|South Africa|Right-hand bat|Right-arm offbreak
1410|Aaron Mpho Phangiso|South Africa|Right-hand bat|Slow left-arm orthodox
1411|Vernon Darryl Philander|South Africa|Right-hand bat|Right-arm fast-medium
1418|Jacobus Andries Rudolph|South Africa|Left-hand bat|Legbreak googly
1419|Benjamin Nicolas Cooper|Netherlands|Left-hand bat|Right-arm medium
1424|Duncan Iain Allan|Kenya|Right-hand bat|Right-arm medium-fast
1430|Graeme Craig Smith|South Africa|Left-hand bat|Right-arm offbreak
1431|Dale Willem Steyn|South Africa|Right-hand bat|Right-arm fast
1432|Roger Telemachus|South Africa|Right-hand bat|Right-arm fast-medium
1435|Ian Jonathan Leonard Trott|England|Right-hand bat|Right-arm medium
1436|Ryan Neil ten Doeschate|Netherlands|Right-hand bat|Right-arm medium-fast
1438|Lonwabo Lopsy Tsotsobe|South Africa|Right-hand bat|Left-arm fast-medium
1439|Johannes Jacobus van der Wath|South Africa|Right-hand bat|Right-arm medium-fast
1441|Morne Nico van Wyk|South Africa|Right-hand bat|Slow left-arm orthodox
1443|Vaughn Bernard van Jaarsveld|South Africa|Left-hand bat|Right-arm medium
1444|Roelof Erasmus van der Merwe|South Africa|Right-hand bat|Slow left-arm orthodox
1449|Monde Zondeki|South Africa|Right-hand bat|Right-arm fast
1453|Russel Premakumaran Arnold|Sri Lanka|Left-hand bat|Right-arm offbreak
1454|Marvan Samson Atapattu|Sri Lanka|Right-hand bat|Legbreak
1457|Mohammed Shami Ahmed|India|Right-hand bat|Right-arm fast-medium
1458|Herath Mudiyanselage Charitha Malinga Bandara|Sri Lanka|Right-hand bat|Legbreak
1478|Tillakaratne Mudiyanselage Dilshan|Sri Lanka|Right-hand bat|Right-arm offbreak
1480|Loku Hettige Danushka Dilhara|Sri Lanka|Right-hand bat|Right-arm fast-medium
1481|Daniel Trevor Christian|Australia|Right-hand bat|Right-arm fast-medium
1488|Congenige Randhi Dilhara Fernando|Sri Lanka|Right-hand bat|Right-arm fast-medium
1492|Patrick James Cummins|Australia|Right-hand bat|Right-arm fast
1501|Asanka Manjula Guruge|United Arab Emirates|Right-hand bat|Left-arm fast-medium
1509|Herath Mudiyanselage Rangana Keerthi Bandara Herath|Sri Lanka|Left-hand bat|Slow left-arm orthodox
1512|Sanath Teran Jayasuriya|Sri Lanka|Left-hand bat|Slow left-arm orthodox
1517|Denagamage Proboth Mahela de Silva Jayawardene|Sri Lanka|Right-hand bat|Right-arm medium
1518|Karl Whatham|Canada|Right-hand bat|Right-arm offbreak
1524|Sahan Hewa Thilina Kandamby|Sri Lanka|Left-hand bat|Legbreak
1528|Chamith Kosala Bandara Kulasekara|Sri Lanka|Right-hand bat|Right-arm fast-medium
1529|Junaid Siddiqui|Canada|Right-hand bat|Legbreak
1532|Kulasekara Mudiyanselage Dinesh Nuwan Kulasekara|Sri Lanka|Right-hand bat|Right-arm fast-medium
1535|Kaushal Samaraweera Lokuarachchi|Sri Lanka|Right-hand bat|Legbreak
1537|Ranasinghe Arachchige Suranga Lakmal|Sri Lanka|Right-hand bat|Right-arm medium-fast
1543|Jehan Mubarak|Sri Lanka|Left-hand bat|Right-arm offbreak
1545|Muttiah Muralitharan|Sri Lanka|Right-hand bat|Right-arm offbreak
1546|Mohamed Farveez Maharoof|Sri Lanka|Right-hand bat|Right-arm fast-medium
1548|Magina Thilan Thushara Mirando|Sri Lanka|Left-hand bat|Left-arm fast-medium
1549|Balapuwaduge Manukulasuriya Amith Jeevan Mendis|Sri Lanka|Left-hand bat|Legbreak
1550|Separamadu Lasith Malinga|Sri Lanka|Right-hand bat|Right-arm fast
1551|Angelo Davis Mathews|Sri Lanka|Right-hand bat|Right-arm fast-medium
1560|Muthumudalige Pushpakumara|Sri Lanka|Left-hand bat|Right-arm offbreak
1562|Mahawaduge Dilruwan Kamalaneth Perera|Sri Lanka|Right-hand bat|Right-arm offbreak
1567|Kariyawasam Tirana Gamage Dhammika Prasad|Sri Lanka|Right-hand bat|Right-arm fast-medium
1568|Xavier John Doherty|Australia|Left-hand bat|Slow left-arm orthodox
1581|Thilan Thusara Samaraweera|Sri Lanka|Right-hand bat|Right-arm offbreak
1584|Lindamlilage Prageeth Chamara Silva|Sri Lanka|Right-hand bat|Legbreak
1586|Hewa Kaluhalamullage Suraj Randiv Kaluhalamulla|Sri Lanka|Right-hand bat|Right-arm offbreak
1587|Elle Hennadige Shadeep Nadeeja Silva|United Arab Emirates|Left-hand bat|Slow left-arm orthodox
1588|Matthew James Henry|New Zealand|Right-hand bat|Right-arm fast-medium
1589|Kumar Chokshanada Sangakkara|Sri Lanka|Left-hand bat|Right-arm offbreak
1593|Warushavithana Upul Tharanga|Sri Lanka|Left-hand bat|none
1595|Mahela Lakmal Udawatte|Sri Lanka|Left-hand bat|Right-arm offbreak
1596|Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas|Sri Lanka|Left-hand bat|Left-arm fast-medium
1609|Kaushalya Weeraratne|Sri Lanka|Left-hand bat|Right-arm medium-fast
1612|Iain Wardlaw|Scotland|Right-hand bat|Right-arm fast-medium
1613|Sajeewa Weerakoon|Sri Lanka|Left-hand bat|Slow left-arm orthodox
1614|Uda Walawwe Mahim Bandaralage Chanaka Asanga Welegedara|Sri Lanka|Right-hand bat|Left-arm fast-medium
1622|Al-Amin Hossain|Bangladesh|Right-hand bat|Right-arm medium-fast
1635|Sulieman Jamaal Benn|West Indies|Left-hand bat|Slow left-arm orthodox
1642|David Eddison Bernard|West Indies|Right-hand bat|Right-arm medium-fast
1644|Lionel Sionne Baker|West Indies|Left-hand bat|Right-arm medium-fast
1645|Tino la Bertram Best|West Indies|Right-hand bat|Right-arm fast
1647|Dwayne John Bravo|West Indies|Right-hand bat|Right-arm medium-fast
1648|Carlton Seymour Baugh|West Indies|Right-hand bat|Legbreak googly
1650|Shivnarine Chanderpaul|West Indies|Left-hand bat|Legbreak
1663|Dawlat Zadran|Afghanistan|Right-hand bat|Right-arm fast-medium
1665|Narsingh Deonarine|West Indies|Left-hand bat|Right-arm offbreak
1666|Travis Montague Dowlin|West Indies|Right-hand bat|Right-arm offbreak
1667|Sunil Dhaniram|Canada|Left-hand bat|Slow left-arm orthodox
1668|Damodar Daesrath|Canada|Right-hand bat|Right-arm offbreak
1669|Fidel Henderson Edwards|West Indies|Right-hand bat|Right-arm fast
1671|Kirk Anton Edwards|West Indies|Right-hand bat|Right-arm offbreak
1674|Malik Ahsan Ahmad Jamil|Netherlands|Right-hand bat|Right-arm medium-fast
1675|Andre David Stephon Fletcher|West Indies|Right-hand bat|Right-arm medium-fast
1676|Shawn Eli Findlay|West Indies|Left-hand bat|Right-arm medium
1678|Daren Ganga|West Indies|Right-hand bat|Right-arm offbreak
1681|Christopher Henry Gayle|West Indies|Left-hand bat|Right-arm offbreak
1694|Wavell Wayne Hinds|West Indies|Left-hand bat|Right-arm medium
1701|Danza Pacino Hyatt|West Indies|Right-hand bat|Right-arm medium
1706|Leon Rayon Johnson|West Indies|Left-hand bat|Legbreak
1711|Eion Katchay|Canada|Right-hand bat|Right-arm fast-medium
1713|Rawl Nicholas Lewis|West Indies|Right-hand bat|Legbreak googly
1716|Callum James Ferguson|Australia|Right-hand bat|Right-arm medium
1719|Nasir Jamal Ahmadzai|Afghanistan|Right-hand bat|Legbreak googly
1720|Najibullah Zadran|Afghanistan|Left-hand bat|Right-arm offbreak
1730|Runako Shakur Morton|West Indies|Right-hand bat|Right-arm medium, Right-arm offbreak
1732|Nikita O'Brien Miller|West Indies|Right-hand bat|Slow left-arm orthodox
1733|Xavier Melbourne Marshall|West Indies|Right-hand bat|Right-arm offbreak
1742|Brenton Anthony Parchment|West Indies|Right-hand bat|Right-arm offbreak
1743|Daren Brent Lyle Powell|West Indies|Right-hand bat|Right-arm fast-medium
1745|Floyd Lamonte Reifer|West Indies|Left-hand bat|Right-arm medium
1751|Dale Maurice Richards|West Indies|Right-hand bat|Right-arm medium
1752|Ravindranath Rampaul|West Indies|Left-hand bat|Right-arm fast-medium
1754|Denesh Ramdin|West Indies|Right-hand bat|none
1755|Austin Conroy Lenroy Richards|West Indies|Left-hand bat|Right-arm medium
1765|Devon Sheldon Smith|West Indies|Left-hand bat|Right-arm offbreak
1766|Ramnaresh Ronnie Sarwan|West Indies|Right-hand bat|Legbreak
1767|Marlon Nathaniel Samuels|West Indies|Right-hand bat|Right-arm offbreak
1769|Darren Julius Garvey Sammy|West Indies|Right-hand bat|Right-arm medium-fast
